significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,,
TRUE,"0,005285309743445",42,193,5,"0,025906735751295","0,119047619047619",GO:0003725,GO:MF,double-stranded RNA binding,25952,448,,
TRUE,"0,006335259044721",73,193,6,"0,031088082901554","0,082191780821918",GO:0005125,GO:MF,cytokine activity,25952,1637,,
TRUE,"0,008061662778004",113,193,7,"0,036269430051814","0,061946902654867",GO:0005126,GO:MF,cytokine receptor binding,25952,1638,,
TRUE,"0,017052963668367",748,193,17,"0,088082901554404","0,022727272727273",GO:0005102,GO:MF,signaling receptor binding,25952,1618,,
TRUE,"0,018613582385784",281,193,10,"0,051813471502591","0,0355871886121",GO:0016887,GO:MF,ATPase activity,25952,3871,,
TRUE,"0,028800539897361",239,193,9,"0,046632124352332","0,03765690376569",GO:0048018,GO:MF,receptor ligand activity,25952,8404,,
TRUE,"0,029733347232805",240,193,9,"0,046632124352332","0,0375",GO:0140098,GO:MF,catalytic activity, acting on RNA,25952,11788,
TRUE,"0,032685510976147",243,193,9,"0,046632124352332","0,037037037037037",GO:0030546,GO:MF,signaling receptor activator activity,25952,4896,,
TRUE,"0,041534404301571",34,193,4,"0,020725388601036","0,117647058823529",GO:0003727,GO:MF,single-stranded RNA binding,25952,450,,
TRUE,"0,041785042719505",251,193,9,"0,046632124352332","0,035856573705179",GO:0030545,GO:MF,receptor regulator activity,25952,4895,,
TRUE,"0,044254445997332",103,193,6,"0,031088082901554","0,058252427184466",GO:0008234,GO:MF,cysteine-type peptidase activity,25952,2059,,
TRUE,"0,049033892944949",316,193,10,"0,051813471502591","0,031645569620253",GO:0019001,GO:MF,guanyl nucleotide binding,25952,4464,,
